证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300051.SZ,琏升科技,0,1.0,-57.07,-27.0962,-88.92,-88.1502,22.7856,29.5558,-47.071,30.0765,11.6548,307.1141,1.4392,0.3047,1.1754,1.1723,0.7621,0.3015,61.3063,18.17,-20.3602,3.7698,-63.9831,63.1153,工业
300313.SZ,ST天山,0,1.0,-34.07,-4.7167,-26.2239,-40.2933,117.6323,96.9147,-28.6073,94.9923,20.6371,2.9988,0.9545,0.1799,0.1541,0.0795,0.0243,-0.0381,87.1657,-15.26,57.471,-67.8065,-27.7042,14.724,日常消费
300370.SZ,安控科技,0,1.0,-2.41,-0.4717,-1.4386,-1.6959,-8.4001,96.7527,-0.9967,96.225,1.3815,1.5713,0.556,0.3279,0.846,0.634,0.1307,0.1076,71.5031,18.55,-1156.7492,-10.0028,-6.7522,39.8542,工业
300071.SZ,福石控股,0,1.0,9.43,0.5633,0.5848,2.2885,-34.1145,101.7068,-3.1019,107.0751,1.827,2.61228,1.5642,0.9633,0.6264,0.6264,0.0718,0.0676,93.4305,4.79,924.3719,-31.7423,-31.814,7.0314,通讯服务
300530.SZ,领湃科技,0,1.0,5.68,5.3406,17.5425,21.3227,-5.3705,-46.4884,3.4445,-43.7275,2.4889,5.7784,0.3751,0.3044,13.5886,12.9499,10.4089,-0.5091,7.9189,-10.1,-59.4205,74.8623,43.289,1162.8047,材料
300029.SZ,ST天龙,0,1.0,-92.78,-56.7217,-443.341,-293.3274,79.4664,47.7458,-58.2797,63.5687,1.8494,1.3219,0.4064,0.1279,0.2283,0.0988,0.0614,-0.2642,46.619,-66.07,15.0959,-35.6242,-1057.78,114.5049,信息技术
300446.SZ,航天智造,0,1.0,16.57,15.623,39.3445,44.0369,5.3394,6.3488,11.7589,2.6132,3.7453,2.5569,0.5512,0.3971,17.0785,15.5249,12.3352,2.9447,6.5554,32.16,81.731,66.0895,67.064,1425.467,可选消费
300044.SZ,赛为智能,0,1.0,-22.41,-10.318,-38.5926,-39.316,-1.0075,-754.961,-25.5375,-784.5569,0.7894,8.1548,0.4952,0.2674,1.3045,1.2406,0.3198,0.1442,61.9468,23.09,-59.4094,13.3109,1.9907,61.4288,信息技术
300269.SZ,联建光电,0,1.0,-110.44,-37.0345,-45.8067,-41.6654,-25.6529,52.1885,-72.1411,55.1227,4.4101,8.002,1.5601,0.8085,0.7718,0.6342,0.2735,0.0568,79.9352,4.05,-8.8412,-17.5243,-134.0694,25.1013,信息技术
300278.SZ,华昌达,0,1.0,-156.28,-40.757,-97.5441,-62.1083,-41.9076,-6442.7517,-82.7093,-1705.0341,1.7513,1.7276,0.7031,0.4178,0.8882,0.582,0.1047,-0.0091,90.3357,-1.12,1.1554,-7.181,-36.5288,10.6982,工业
300352.SZ,北信源,0,0.0,0.99,0.7522,2.803,2.3176,26.1324,-76.291,-0.6647,-81.3362,0.7266,1.8987,0.3779,0.2684,3.6211,3.2844,0.9237,-0.1691,19.6111,-12.72,-410.2777,50.8428,17.366,409.9157,信息技术
300115.SZ,长盈精密,0,0.0,1.97,1.2186,1.3698,-1.1859,0.3436,1240.8981,-2.4874,-748.5868,5.5005,3.0684,1.6121,0.8896,1.1156,0.6346,0.2077,0.1718,53.6182,9.51,982.0638,5.7456,22.6916,86.5038,信息技术
300452.SZ,山河药辅,0,0.0,16.47,11.8654,19.4308,22.3445,8.2861,16.8055,6.6294,17.3456,11.5679,7.1027,1.2554,0.6106,2.0667,1.8141,1.1318,0.4312,26.364,17.13,94.1974,24.2659,42.3384,279.3045,医疗保健
300437.SZ,清水源,0,0.0,7.57,3.7549,9.4382,13.1718,-0.2517,-43.3235,12.9247,-39.7762,2.0264,1.4747,0.7235,0.3978,1.3346,0.846,0.2529,0.055,59.1138,6.56,97.1255,14.569,13.0904,69.1653,材料
300529.SZ,健帆生物,0,0.0,30.24,25.0161,39.7182,47.5151,40.8566,41.8381,26.1405,42.8341,10.0303,2.5724,0.9995,0.6298,5.9389,5.5874,4.8512,2.2217,12.9928,40.75,102.2201,51.9954,47.0119,669.6548,医疗保健
300672.SZ,国科微,0,0.0,6.26,3.8465,12.4246,11.7218,35.6847,50.3222,11.465,203.5647,2.3268,2.0054,0.5763,0.3096,1.9402,1.6008,0.986,0.4473,40.4753,41.93,334.1344,25.4489,13.9981,147.0641,信息技术
300122.SZ,智飞生物,0,0.0,47.67,26.6602,22.3516,26.5744,102.4999,63.049,37.4666,64.2788,3.3021,2.8747,1.6565,1.1928,1.6101,1.1203,0.2268,0.2695,47.4766,12.91,57.7659,28.28,36.0009,110.6303,医疗保健
300582.SZ,英飞特,0,0.0,10.61,6.4384,10.5229,12.3792,4.5039,51.0394,10.9311,50.2562,4.6599,4.6917,1.7486,0.6118,1.1095,0.8877,0.3602,0.2539,38.7845,13.99,132.9935,3.5082,22.4813,157.8349,工业
300187.SZ,永清环保,0,0.0,3.75,1.739,7.8724,9.718,-29.385,130.5384,8.3913,153.2917,1.8239,1.1412,0.444,0.2209,1.2104,0.8475,0.2638,0.1419,41.3976,22.22,263.0738,8.0439,17.2348,141.5598,工业
300287.SZ,飞利信,0,0.0,0.85,0.5925,2.1558,2.1662,3.2804,101.6155,1.0854,101.5984,0.8631,2.0831,0.4344,0.2748,2.6586,2.2618,0.4476,0.2644,23.4567,20.22,927.6308,37.39,-18.8022,326.3172,信息技术
300689.SZ,澄天伟业,0,0.0,8.13,6.7662,13.2111,16.3538,-1.6681,-15.8419,5.1232,-12.2207,3.1,8.4771,0.9489,0.5122,3.457,3.1265,1.726,0.5932,14.4373,15.99,117.0695,32.7392,41.6682,592.6506,信息技术
300480.SZ,光力科技,0,0.0,7.87,6.5618,18.876,21.094,16.9519,34.7175,6.1029,33.7303,1.715,1.4453,0.5695,0.3476,4.1593,3.4539,1.9849,0.4433,16.3954,19.5,103.0677,45.8608,33.6839,509.9256,工业
300242.SZ,佳云科技,0,0.0,0.82,0.7363,0.3054,0.2297,-1.4466,101.3567,0.5363,101.0193,5.313,56.70252000000001,2.9747,2.4106,1.4337,1.4335,0.3055,0.1272,57.0825,3.19,2075.7452,24.7126,-33.9131,75.1851,通讯服务
300503.SZ,昊志机电,0,0.0,-16.3,-9.1588,-42.6016,-51.3194,-23.8433,-365.7775,11.4221,-394.0989,1.2667,0.614,0.3752,0.215,1.5412,1.0362,0.6058,-0.0491,48.5876,-9.31,21.0994,19.974,13.4538,105.8138,工业
300290.SZ,荣科科技,0,0.0,4.16,2.8939,6.1321,6.3814,15.4866,106.3607,22.4878,88.7998,1.4153,5.008,0.8155,0.4719,2.1682,1.9539,0.6691,0.1867,31.3974,11.1,186.0861,31.4509,19.994,218.4979,信息技术
300505.SZ,川金诺,0,0.0,8.36,5.8518,6.4664,7.4845,16.6118,13.5807,28.866,9.143,22.1801,3.5086,2.1528,0.905,2.5429,1.5717,1.1369,0.5089,35.9419,10.85,167.7487,25.5941,28.1466,178.2271,材料
300661.SZ,圣邦股份,0,0.0,18.25,14.23,22.0479,23.832,38.453,68.5038,27.2619,69.6288,13.8306,3.0215,0.7867,0.6454,4.9678,4.202,1.1239,0.6359,19.5654,18.24,82.096,64.7158,34.1559,411.1066,信息技术
300528.SZ,幸福蓝海,0,0.0,0.48,5.7291,6.0987,6.007,28.0406,120.7696,30.1322,115.2053,5.2331,3.213,1.3673,0.9394,2.932,2.1656,0.7756,0.4063,26.0638,11.29,183.4895,47.0266,22.064,283.6732,通讯服务
300429.SZ,强力新材,0,0.0,9.31,7.4082,17.0888,19.9814,16.8889,7.8569,7.2569,8.354,8.3713,2.0677,0.94,0.4335,3.2861,2.2501,1.657,0.6639,17.3309,21.6,123.8747,30.5443,31.3711,477.004,材料
300583.SZ,赛托生物,0,0.0,3.04,1.7574,5.0783,6.9573,-8.2181,-61.1321,-3.8848,-54.9479,5.3988,1.0622,0.608,0.3461,1.5977,0.8229,0.4103,0.0611,36.8398,5.97,104.1712,18.8685,20.4659,171.4459,医疗保健
300603.SZ,立昂技术,0,0.0,5.83,4.8349,8.9097,10.5562,106.6586,197.7481,424.0986,204.1343,1.5987,9.0239,0.9591,0.5427,1.6067,1.5398,0.5452,0.177,35.1901,14.56,164.9041,18.6215,9.0273,184.1706,信息技术
300394.SZ,天孚通信,0,0.0,14.93,13.173,31.9886,36.7204,18.0726,22.9138,9.2374,22.0935,3.5201,3.6479,0.6063,0.4118,5.8023,5.3094,1.0939,1.1607,12.8818,33.82,106.1605,54.4123,42.5837,676.2904,信息技术
300391.SZ,长药控股,0,0.0,-61.13,-37.2637,-92.6664,-93.8846,-17.674,-774.6489,-47.1926,-739.9941,2.1403,2.7937,0.6794,0.4021,1.4704,1.2177,0.5572,0.03,50.6316,3.07,-3.3302,22.9795,-25.532,97.5052,医疗保健
300095.SZ,华伍股份,0,0.0,6.65,3.8833,8.9736,10.2283,16.0366,207.3097,6.3362,243.8593,1.7746,1.6233,0.7643,0.4327,1.3613,0.9476,0.2348,0.0529,46.0192,5.23,71.7948,15.0471,11.8032,117.3005,工业
300618.SZ,寒锐钴业,0,0.0,0.76,0.3909,0.7638,-1.0964,-36.0626,-98.0702,-6.4248,-102.0391,5.6167,1.2551,0.7576,0.5118,1.7246,0.7065,0.2849,0.1764,49.2649,11.58,1485.3355,24.1562,28.9111,102.9844,材料
300565.SZ,科信技术,0,0.0,-11.57,-8.2951,-24.1922,-29.336,-37.5127,-591.1116,-9.6774,-534.5866,1.3488,3.1008,0.5479,0.3429,2.0632,1.7147,0.8586,-0.0681,30.1365,-5.41,22.344,29.9346,21.415,231.8234,信息技术
300074.SZ,华平股份,0,0.0,1.52,1.0509,3.3753,4.3066,6.4379,53.4579,-0.1802,166.908,1.4096,1.9377,0.5795,0.3114,3.1074,2.5951,0.6527,0.0024,20.1722,0.14,3.5236,37.2762,31.5575,395.7305,信息技术
300324.SZ,旋极信息,0,0.0,5.13,3.2694,7.903,9.503,-13.7453,270.5312,7.408,120.9933,3.213,2.595,0.6856,0.4137,1.7864,1.4366,0.9365,0.2727,32.7555,19.82,255.1253,23.9186,14.4181,205.2925,信息技术
300456.SZ,赛微电子,0,0.0,4.52,2.8274,14.674,19.7979,0.7676,11.9,86.561,17.9149,1.8384,1.9027,0.4694,0.1927,3.0195,2.5747,1.3748,0.3457,19.3477,26.33,163.7802,26.4874,11.2511,416.8575,信息技术
300163.SZ,ST先锋,0,0.0,9.5,5.2492,9.826,10.5492,-23.3037,120.5822,19.1229,123.1217,2.9206,1.5132,1.034,0.5342,4.5341,2.9557,0.6912,0.0692,28.23,1.6,14.8687,45.5088,-2.9686,254.2332,材料
300245.SZ,天玑科技,0,0.0,2.36,1.8923,7.0258,6.2839,8.9528,-47.6153,2.4124,-54.3898,2.6551,11.0356,0.3735,0.2693,8.0097,7.85,6.5091,0.3627,9.0514,11.78,169.5159,60.4589,26.8111,1004.806,信息技术
300676.SZ,华大基因,0,0.0,6.27,4.9911,9.9456,11.7886,10.4087,-31.7094,3.5796,-30.9955,2.2558,4.4472,0.8636,0.5018,2.8237,2.5214,1.0732,0.1977,25.5212,8.01,81.1536,35.0138,17.8762,291.8307,医疗保健
300585.SZ,奥联电子,0,0.0,4.5,2.6995,5.7062,3.4498,6.0293,-53.9153,6.8913,-73.1051,3.1919,2.531,0.9518,0.4731,1.4156,1.0667,0.3714,0.1438,36.6369,10.62,185.2042,14.3974,24.3082,172.9486,可选消费
300132.SZ,青松股份,0,0.0,19.62,15.5061,16.315,19.0709,104.5706,18.5101,172.838,17.4198,6.7746,2.7764,1.6879,0.9504,2.8694,1.8191,0.7836,0.8215,32.1485,23.25,149.2244,33.0556,22.6545,211.057,材料
300110.SZ,华仁药业,0,0.0,1.93,1.5411,3.0891,5.0645,5.6423,20.553,-0.2259,54.9309,2.581,3.266,0.9924,0.4989,3.058,2.6093,0.8986,0.7184,17.0392,21.16,735.3443,32.6945,17.1794,486.8822,医疗保健
300409.SZ,道氏技术,0,0.0,0.99,0.4214,0.6796,0.4697,-15.7315,-94.73,6.1427,-96.8583,6.9453,1.906,1.0812,0.6201,1.5494,0.8999,0.3603,0.727,44.3619,34.85,4336.2908,17.6953,13.0627,125.4186,材料
300250.SZ,初灵信息,0,0.0,4.18,3.3973,9.6109,9.9885,15.7318,115.3306,-15.5759,109.8312,2.0319,3.5042,0.6111,0.3535,3.5329,3.1321,1.7914,0.302,13.9878,10.38,107.0197,35.2545,3.0657,614.9072,信息技术
300674.SZ,宇信科技,0,0.0,15.58,7.5722,10.3048,10.8328,23.88,38.4541,10.9315,33.4876,3.8519,3.3956,1.1579,0.7348,1.445,1.1251,0.6159,0.1085,51.9884,6.81,65.8399,18.6343,20.4618,92.3507,信息技术
300088.SZ,长信科技,0,0.0,16.09,9.3723,14.2699,17.0428,-37.3494,18.4358,29.8056,22.3224,4.3522,9.7789,1.5878,0.6568,1.5177,1.3419,0.6563,0.7033,29.3548,24.61,175.3805,12.1009,31.6063,240.6595,信息技术
300127.SZ,银河磁体,0,0.0,11.97,11.2149,24.6189,28.5165,0.617,-5.7896,2.8067,-5.7887,3.5672,2.8555,0.5505,0.4555,14.2589,12.4124,9.5675,1.8422,5.7446,23.47,95.9265,75.8357,32.7475,1640.7544,材料
