证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300767,2021-01-04,73.5,76.3,72.9,74.3,2334448,174697806.5,0.017808,2.82666
300767,2021-01-05,75.22,77.2,74.24,76.7,2966832,225752735.93,0.032301,3.59238
300767,2021-01-06,77.02,79.46,76.2,77.8,1618876,125789443.51,0.014342,1.960211
300767,2021-01-07,80,92.36,78,88.58,5374309,461952519.94,0.13856,6.507467
300767,2021-01-08,88.8,94.28,84.8,86.91,5410221,480589686.31,-0.018853,6.550951
300767,2021-01-11,86.91,92.3,84.2,90.35,3328980,297094000.2,0.039581,4.030886
300767,2021-01-12,89.3,92.87,88.5,92.18,2111195,192852018.66,0.020255,2.556334
300767,2021-01-13,92.18,94.9,91.31,92.1,2047667,191126984.4,-0.000868,2.479412
300767,2021-01-14,91.01,94.03,90.53,92.89,2187799,202627548.9,0.008578,2.64909
300767,2021-01-15,92,97.5,92,97.08,2904384,277613953.88,0.045107,3.516765
300767,2021-01-18,97.48,100.57,95.47,97.53,2938423,287106307.34,0.004635,3.557981
300767,2021-01-19,97.51,102.6,97,101.97,2413947,242822590.97,0.045524,2.922921
300767,2021-01-20,98.18,101.5,93.13,101.47,4259926,416021051.65,-0.004903,5.158119
300767,2021-01-21,101.01,102.44,97.36,99.99,2185138,217793081.84,-0.014586,2.645868
300767,2021-01-22,99.1,100.43,97.14,98.98,1738273,171786870.72,-0.010101,2.104783
300767,2021-01-25,98.96,105,98.01,100.73,2052277,208619029.37,0.01768,2.484994
300767,2021-01-26,100.73,101.49,96.78,98.7,1140728,112485824.3,-0.020153,1.381247
300767,2021-01-27,98.13,99.95,94.43,97.71,1542465,149904274.3,-0.01003,1.867689
300767,2021-01-28,98,98.73,93.7,93.99,1389485,133106967.38,-0.038072,1.682454
300767,2021-01-29,95,96.9,88.88,90.6,2019236,186116038.14,-0.036068,2.444986
300767,2021-02-01,90.63,91.7,88.88,89.76,2053022,185188471.37,-0.009272,2.485896
300767,2021-02-02,91.4,92.33,87.83,91.18,1418300,127966884,0.01582,1.717345
300767,2021-02-03,92.5,92.5,88.66,88.73,1166644,104321362.2,-0.02687,1.412628
300767,2021-02-04,86.87,89.1,84.33,85.33,1695174,145948782.97,-0.038318,2.052597
300767,2021-02-05,85.2,87.5,83.7,84.02,1310180,111969304.8,-0.015352,1.586428
300767,2021-02-08,84.07,86.5,82.12,82.92,1063444,88696575,-0.013092,1.287668
300767,2021-02-09,82.95,86.65,82.3,85.8,1239522,105283853.36,0.034732,1.500872
300767,2021-02-10,85.81,89.6,84.01,87.16,1485697,129389786.1,0.015851,1.798952
300767,2021-02-18,91,91,84.6,85.01,1262008,109250269.19,-0.024667,1.528099
300767,2021-02-19,83.87,86.75,82,86,1304283,110389150.26,0.011646,1.579287
300767,2021-02-22,86.66,86.66,81.9,82.01,1517508,126732119.56,-0.046395,1.83747
300767,2021-02-23,81.1,82.88,80.68,81.05,1012868,82917024.2,-0.011706,1.226428
300767,2021-02-24,80.88,82.28,77,78.64,1870275,147466070.42,-0.029735,2.264617
300767,2021-02-25,79.5,79.54,75.34,76.01,1395563,107115473.15,-0.033444,1.689813
300767,2021-02-26,75.37,76.77,74.12,75.2,1313216,98801613.16,-0.010656,1.590104
300767,2021-03-01,75.09,76.35,74.4,75.66,1678289,126623459.1,0.006117,2.032151
300767,2021-03-02,75.89,77.55,75.04,76.59,1662821,127171870.48,0.012292,2.013422
300767,2021-03-03,76.49,77.18,74.7,75.3,1327422,100364941.72,-0.016843,1.607305
300767,2021-03-04,76,76,72.61,73.18,1484309,109640679.77,-0.028154,1.797271
300767,2021-03-05,71.66,74.15,71.66,73.65,1256737,91559192.46,0.006423,1.521716
300767,2021-03-08,73.76,74.3,70.58,70.58,1145156,83345614.16,-0.041684,1.386609
300767,2021-03-09,69.97,71.82,67.9,68.48,1462520,101493444.84,-0.029753,1.770888
300767,2021-03-10,72,72.5,68.59,71.44,1768130,125328899.54,0.043224,2.140935
300767,2021-03-11,72.03,80.5,72,77.19,2568999,197557649.49,0.080487,3.110665
300767,2021-03-12,75.5,78.5,73.4,77.53,2899121,220573975.18,0.004405,3.510392
300767,2021-03-15,77.01,77.01,71.6,72.1,1756768,129424079.72,-0.070037,2.127178
300767,2021-03-16,72.81,75.81,72.32,75.1,1224480,91107339.88,0.041609,1.482658
300767,2021-03-17,76.78,76.78,74.2,75.94,870937,65771047.6,0.011185,1.054572
300767,2021-03-18,75.8,76.24,74.35,74.84,771488,57926211.64,-0.014485,0.934154
300767,2021-03-19,73.57,78.9,73.13,76.11,1252210,95622140.74,0.01697,1.516235
